,word,word_cut
3520,磁电阻系数,磁n 电阻n 系数n
3521,功率系数,功率n 系数n
3522,温度系数,温度n 系数n
3523,开路电压温度系数,开路n 电压n 温度n 系数n
3524,质量传能系数,质量n 传能v 系数n
3525,变差系数,变差n 系数n
3526,峰总比,峰nr 总b 比n
3527,堆芯箱体,堆芯n 箱体n
3528,激光束相干性,激光束n 相干性n
3529,相干性,相干性n
3530,脉冲符合,脉冲n 符合v
3531,偶然符合,偶然d 符合v
3532,真符合,真d 符合v
3533,共线的,共线n 的uj
3534,介质粘合,介质n 粘合v
3535,反向共集电极,反向v 共d 集电极n
3536,共集电极,共d 集电极n
3537,集电区,集电区n
3538,自给能探测器,自给v 能v 探测器n
3539,安装法兰盘,安装v 法兰盘n
3540,弹性碰撞,弹性n 碰撞v
3541,非弹性碰撞,非h 弹性n 碰撞v
3542,核燃料,核燃料n
3543,混合氧化物燃料,混合vn 氧化物n 燃料n
3544,比燃耗,比p 燃耗n
3545,燃耗可控性控制,燃耗n 可控性n 控制v
3546,基于规则的控制,基于p 规则n 的uj 控制v
3547,自动光圈控制,自动vn 光圈n 控制v
3548,时钟控制,时钟n 控制v
3549,连续控制,连续a 控制v
3550,执行驱动器,执行v 驱动器n
3551,送丝控制器,送v 丝n 控制器n
3552,闭环控制,闭环控制n
3553,开环控制,开环ns 控制v
3554,计算机自动测量和控制插件,计算机n 自动vn 测量vn 和c 控制v 插件n
3555,功能切换,功能n 切换v
3556,步设定操作,步n 设定v 操作v
3557,非时钟控制,非h 时钟n 控制v
3558,计算机控制,计算机控制n
3559,程序控制,程序控制n
3560,面向过程的顺序控制,面向n 过程n 的uj 顺序控制n
3561,面向时间的顺序控制,面向n 时间n 的uj 顺序控制n
3562,电子商务,电子商务n
3563,网上社区,网上s 社区n
3564,交换机,交换机n
3565,量限转换器,量限n 转换器l
3566,换向,换向v
3567,切换动词比较仪比较元件,切换v 动词n 比较仪n 比较d 元件n
3568,燃料通道活度比较器,燃料n 通道v 活度n 比较d 器n
3569,电极玻璃炉工作端,电极n 玻璃n 炉zg 工作vn 端v
3570,相容性,相容性l
3571,兼容性,兼容性l
3572,逆向兼容性补偿器,逆向n 兼容性l 补偿器n
3573,杂质补偿,杂质n 补偿vn
3574,泄漏补偿,泄漏v 补偿vn
3575,极零相消,极d 零m 相消v
3576,补偿零件,补偿vn 零件mq
3577,零插拔力连接器,零m 插拔n 力n 连接器l
3578,元件,元件n
3579,可靠元件,可靠v 元件n
3580,非点燃元件,非h 点燃v 元件n
3581,分量,分量n
3582,直接分量,直接ad 分量n
3583,基准基波分量复合物,基准n 基波n 分量n 复合物nt
3584,灌注胶,灌注v 胶n
3585,理想配比成分灌封,理想n 配比v 成分n 灌封v
3586,净计量,净a 计量n
3587,颗粒计数计数动词计数器,颗粒n 计数n 计数n 动词n 计数器n
3588,最大需量电能表,最大a 需量n 电能表n
3589,感应系电能表,感应v 系v 电能表n
3590,预付费电能表,预付费vn 电能表n
3591,多费率电能表,多m 费率n 电能表n
3592,电能表,电能表n
3593,超量电能表,超量n 电能表n
3594,电动式电能表,电动式n 电能表n
3595,室外电能表,室外s 电能表n
3596,室内电能表,室内s 电能表n
3597,静止式电能表集磁器,静止v 式k 电能表n 集q 磁器n
3598,聚能器,聚能v 器n
3599,集线器,集线器n
3600,最易点燃混合物,最易a 点燃v 混合物n
3601,最小可探测浓度,最小a 可v 探测v 浓度n
3602,体浓度,体n 浓度n
3603,系统设计员,系统n 设计员n
3604,稳态设计,稳态n 设计vn
3605,端电容器,端v 电容器n
3606,隔离电容器,隔离v 电容器n
3607,加热电容器,加热v 电容器n
3608,气隙加热电容器,气隙n 加热v 电容器n
3609,串联电容器,串联ns 电容器n
3610,约定焊接条件,约定v 焊接v 条件n
3611,单一故障状态,单一b 故障n 状态n
3612,可使用状态,可v 使用v 状态n
3613,转移条件条件处理,转移v 条件n 条件n 处理v
3614,事故工况,事故n 工况n
3615,环境条件,环境n 条件n
3616,参考条件,参考v 条件n
3617,影响量基准条件,影响vn 量n 基准n 条件n
3618,户外条件,户外s 条件n
3619,微分电导,微分n 电导n
3620,导电的,导电n 的uj
3621,中性导体,中性n 导体n
3622,绝缘线芯,绝缘线n 芯ng
3623,绞合导体,绞合v 导体n
3624,接地导体,接地v 导体n
3625,金属屏蔽层互联引线,金属n 屏蔽n 层q 互联v 引线n
3626,保护联结导体,保护v 联结v 导体n
3627,功能联结导体,功能n 联结v 导体n
3628,多相线导体,多相d 线n 导体n
3629,线导体,线n 导体n
3630,保护接地导体,保护v 接地v 导体n
3631,功能接地导体,功能n 接地v 导体n
3632,中间导体,中间f 导体n
3633,保护导体,保护v 导体n
3634,平行连续接地导体,平行n 连续a 接地v 导体n
3635,平行接地导体,平行n 接地v 导体n
3636,裸接地导体,裸ag 接地v 导体n
3637,屏蔽导体,屏蔽n 导体n
3638,保护接地线导体,保护v 接地线j 导体n
3639,保护接地中间导体,保护v 接地v 中间f 导体n
3640,保护接地中性导体,保护v 接地v 中性n 导体n
3641,集束架空电缆,集束v 架空电缆n
3642,本征导电,本征n 导电n
3643,离子导电,离子n 导电n
3644,电子导电,电子n 导电n
3645,空穴导电,空穴n 导电n
3646,热传导,热传导n
3647,型电导率,型k 电导率n
3648,本征电导率,本征n 电导率n
3649,导管引入,导管n 引入v
3650,光导,光导n
3651,导管,导管n
3652,核反应堆控制,核反应堆l 控制v
3653,构形控制,构形n 控制v
3654,燃料控制,燃料n 控制v
3655,慢化剂控制,慢化剂nz 控制v
3656,反射层控制,反射层n 控制v
3657,流体毒物控制,流体n 毒物n 控制v
3658,应力锥,应力v 锥n
3659,锥体,锥体n
3660,有主持的会议,有v 主持v 的uj 会议n
3661,计算机会议,计算机n 会议n
3662,棋盘形排列配置动词,棋盘形n 排列v 配置v 动词n
3663,粉尘集尘装置,粉尘n 集尘n 装置n
3664,包容,包容v
3665,阻塞,阻塞v
3666,共轭,共轭n
3667,连接动词电缆电感与电阻的最大比值,连接v 动词n 电缆n 电感n 与p 电阻n 的uj 最大a 比值n
3668,线性电源,线性n 电源n
3669,非线性电源,非线性b 电源n
3670,本质安全型,本质n 安全an 型k
3671,复合物复合物的温度范围,复合物nt 复合物nt 的uj 温度n 范围n
3672,复合物的连续运行温度,复合物nt 的uj 连续a 运行v 温度n
3673,浇封自由表面,浇封v 自由a 表面n
3674,孔隙净空间,孔隙n 净a 空间n
3675,胶粘防爆类型,胶粘b 防爆v 类型n
3676,防爆类型,防爆v 类型n
3677,无火花装置,无v 火花n 装置n
3678,浇封装置,浇封v 装置n
3679,封闭式断路装置,封闭式n 断路n 装置n
3680,气密装置,气密n 装置n
3681,密封装置,密封ns 装置n
3682,限能设备,限能v 设备vn
3683,关联限能设备或,关联ns 限能v 设备vn 或c
3684,自保护限能设备,自p 保护v 限能v 设备vn
3685,电缆密封盒,电缆n 密封ns 盒q
3686,能量限制,能量n 限制v
3687,检查与维护,检查vn 与p 维护v
3688,维护检查目视检查,维护v 检查vn 目视n 检查vn
3689,具有行政职能的技术人员,具有v 行政n 职能n 的uj 技术人员n
3690,修理维护零件修复,修理v 维护v 零件mq 修复v
3691,改造制造商用户修理单位认证,改造v 制造商n 用户n 修理v 单位n 认证v
3692,证书编号,证书编号n
3693,复制绕组,复制v 绕组n
3694,粉尘外罩保护,粉尘n 外罩n 保护v
3695,防粉尘点燃型,防v 粉尘n 点燃v 型k
3696,正压保护,正压v 保护v
3697,正压,正压v
3698,浇封型保护,浇v 封q 型k 保护v
3699,本质安全型保护,本质n 安全an 型k 保护v
3700,伴热环境温度,伴热v 环境温度n
3701,三通盲管,三通nz 盲管n
3702,现场组装,现场n 组装v
3703,热损失,热n 损失n
3704,散热件,散热v 件zg
3705,传热材料,传热v 材料n
3706,伴热垫,伴热v 垫v
3707,伴热板,伴v 热板n
3708,上限温度,上限v 温度n
3709,最高环境温度,最高a 环境温度n
3710,最高耐受温度,最高a 耐受a 温度n
3711,金属护套,金属n 护套nz
3712,最低环境温度,最低a 环境温度n
3713,外护套,外f 护套nz
3714,串联伴热器,串联ns 伴v 热器n
3715,护套护套温度,护套nz 护套nz 温度n
3716,系统文件,系统文件n
3717,温度报警器,温度n 报警器n
3718,温度控制装置,温度控制n 装置n
3719,温控器,温控器n
3720,限温装置,限温n 装置n
3721,保温层,保温层n
3722,伴热器,伴v 热器n
3723,伴热气候防护层,伴热v 气候n 防护v 层q
3724,一般继电器继电器类型,一般a 继电器n 继电器n 类型n
3725,电气继电器,电气n 继电器n
3726,有或无继电器,有v 或c 无v 继电器n
3727,基础继电器,基础n 继电器n
3728,电磁继电器,电磁n 继电器n
3729,固体继电器,固体a 继电器n
3730,单稳态继电器,单稳态n 继电器n
3731,双稳态继电器,双稳态n 继电器n
3732,非极化继电器,非h 极化n 继电器n
3733,继电器制造工艺类别,继电器n 制造v 工艺n 类别n
3734,状态与功能,状态n 与p 功能n
3735,释放,释放v
3736,复归,复归v
3737,反向回复,反向v 回复v
3738,工作频率,工作频率n
3739,连续工作制,连续a 工作制n
3740,断续工作制,断续v 工作制n
3741,短时工作制,短时b 工作制n
3742,热阻,热阻n
3743,实测值,实测值n
3744,激励激励量,激励v 激励v 量n
3745,输入电压,输入v 电压n
3746,输入电压工作值范围,输入v 电压n 工作vn 值n 范围n
3747,动作电压,动作n 电压n
3748,不动作电压,不d 动作n 电压n
3749,释放电压,释放v 电压n
3750,不释放电压,不d 释放v 电压n
3751,复归电压,复归v 电压n
3752,不复归电压,不d 复归v 电压n
3753,回复电压,回复v 电压n
3754,不回复电压,不d 回复v 电压n
3755,反向回复电压,反向v 回复v 电压n
3756,不反向回复电压,不d 反向v 回复v 电压n
3757,反向极性电压,反向v 极性n 电压n
3758,线圈瞬态抑制器件,线圈n 瞬态n 抑制v 器件n
3759,成套触点,成套a 触点n
3760,接触件,接触v 件zg
3761,接触点,接触点i
3762,触点间隙,触点n 间隙n
3763,触点压力,触点n 压力n
3764,触点跟随,触点n 跟随v
3765,触点擦动,触点n 擦动l
3766,触点电压,触点n 电压n
3767,触点噪声,触点n 噪声n
3768,触点回跳,触点n 回v 跳v
3769,触点抖动,触点n 抖动v
3770,时间动作时间,时间n 动作n 时间n
3771,释放时间,释放v 时间n
3772,复归时间,复归v 时间n
3773,回跳时间,回v 跳v 时间n
3774,桥接时间,桥接n 时间n
3775,转接时间,转接v 时间n
3776,稳定时间,稳定a 时间n
3777,最短激励时间,最d 短a 激励v 时间n
3778,影响量,影响vn 量n
3779,影响量标称范围,影响vn 量n 标称n 范围n
3780,影响量极端范围,影响vn 量n 极端n 范围n
3781,耐久性继电器可靠度,耐久性n 继电器n 可靠v 度zg
3782,继电器故障,继电器n 故障n
3783,不合格继电器,不d 合格n 继电器n
3784,平均失效间隔工作时间,平均a 失效a 间隔n 工作vn 时间n
3785,平均失效间隔工作时间相应的循环次数,平均a 失效a 间隔n 工作vn 时间n 相应v 的uj 循环vn 次数n
3786,继电器失效率,继电器n 失效率n
3787,周期相关的失效率,周期t 相关v 的uj 失效率n
3788,触点电路电阻增大的触点故障,触点n 电路n 电阻n 增大v 的uj 触点n 故障n
3789,触点电路不断开的触点故障,触点n 电路n 不断d 开v 的uj 触点n 故障n
3790,时间继电器时间继电器类型,时间n 继电器n 时间n 继电器n 类型n
3791,动作延时继电器,动作n 延时ns 继电器n
3792,释放延时继电器,释放v 延时ns 继电器n
3793,有控制信号的释放延时继电器,有v 控制v 信号n 的uj 释放v 延时ns 继电器n
3794,有控制信号的动作和释放延时继电器,有v 控制v 信号n 的uj 动作n 和c 释放v 延时ns 继电器n
3795,闪光继电器,闪光n 继电器n
3796,对称闪光继电器,对称v 闪光n 继电器n
3797,非对称闪光继电器,非对称n 闪光n 继电器n
3798,星三角继电器,星n 三角m 继电器n
3799,累加时间继电器,累加v 时间n 继电器n
3800,脉冲延时继电器,脉冲n 延时ns 继电器n
3801,有控制信号的脉冲延时继电器,有v 控制v 信号n 的uj 脉冲n 延时ns 继电器n
3802,间隔定时继电器,间隔n 定时d 继电器n
3803,有控制信号的间隔定时继电器,有v 控制v 信号n 的uj 间隔n 定时d 继电器n
3804,控制信号接通时重启动的间隔定时继电器,控制v 信号n 接通v 时n 重启动l 的uj 间隔n 定时d 继电器n
3805,控制信号关断时重启动的间隔定时继电器,控制v 信号n 关断v 时n 重启动l 的uj 间隔n 定时d 继电器n
3806,保持式时间继电器,保持v 式k 时间n 继电器n
3807,串联负载时间继电器,串联ns 负载v 时间n 继电器n
3808,控制信号,控制v 信号n
3809,复原信号,复原n 信号n
3810,暂停信号,暂停d 信号n
3811,固体输出电路通态电压降,固体a 输出v 电路n 通态n 电压n 降v
3812,即时输出,即时c 输出v
3813,时间规定时间,时间n 规定n 时间n
3814,最短控制激励时间,最d 短a 控制v 激励v 时间n
3815,临界激励时间,临界b 激励v 时间n
3816,恢复时间,恢复v 时间n
3817,间隔定时时间,间隔n 定时d 时间n
3818,脉冲动作状态时间,脉冲n 动作n 状态n 时间n
3819,脉冲释放状态时间,脉冲n 释放v 状态n 时间n
3820,动作延时继电器释放时间,动作n 延时ns 继电器n 释放v 时间n
3821,释放延时继电器动作时间,释放v 延时ns 继电器n 动作n 时间n
3822,实际时间值,实际n 时间n 值n
3823,整定时间范围,整定b 时间n 范围n
3824,超调时间,超调v 时间n
3825,影响量误差和精确度,影响vn 量n 误差n 和c 精确度n
3826,规定时间影响效应,规定n 时间n 影响vn 效应n
3827,电磁兼容性,电磁兼容l 性n
3828,电源端口,电源n 端口n
3829,控制端口,控制v 端口n
3830,外壳端口,外壳n 端口n
3831,测量继电器继电器类型术语,测量vn 继电器n 继电器n 类型n 术语n
3832,量度继电器,量度n 继电器n
3833,定时限量度继电器,定时d 限量n 度zg 继电器n
3834,它定时限量度继电器,它r 定时d 限量n 度zg 继电器n
3835,自定时限量度继电器,自p 定时d 限量n 度zg 继电器n
3836,静态继电器,静态n 继电器n
3837,模拟式继电器,模拟式b 继电器n
3838,数字继电器,数字n 继电器n
3839,直流极化继电器,直流n 极化n 继电器n
3840,交流极化继电器,交流n 极化n 继电器n
3841,保护继电器,保护v 继电器n
3842,控制继电器,控制v 继电器n
3843,集成保护继电器,集成v 保护v 继电器n
3844,集成控制继电器,集成v 控制v 继电器n
3845,集成保护控制继电器,集成v 保护v 控制v 继电器n
3846,自适应继电器,自p 适应v 继电器n
3847,一次继电器,一次m 继电器n
3848,二次继电器,二次m 继电器n
3849,分流继电器,分流n 继电器n
3850,过继电器,过ug 继电器n
3851,欠继电器,欠v 继电器n
3852,欠和过继电器,欠v 和c 过ug 继电器n
3853,变化率继电器,变化率n 继电器n
3854,频率继电器,频率n 继电器n
3855,电抗继电器,电抗vn 继电器n
3856,距离继电器,距离n 继电器n
3857,姆欧继电器,姆x 欧j 继电器n
3858,相故障继电器,相v 故障n 继电器n
3859,电热继电器,电热n 继电器n
3860,偏置继电器,偏置n 继电器n
3861,比率继电器,比率n 继电器n
3862,不平衡继电器,不d 平衡a 继电器n
3863,方向继电器,方向n 继电器n
3864,调节继电器,调节vn 继电器n
3865,伏赫比继电器,伏赫nr 比p 继电器n
3866,偏移姆欧继电器,偏移v 姆x 欧j 继电器n
3867,继电器功能状态与功能术语,继电器n 功能n 状态n 与p 功能n 术语n
3868,动作动词,动作n 动词n
3869,复归动词,复归v 动词n
3870,循环动词,循环vn 动词n
3871,启动动词,启动vn 动词n
3872,切换动词,切换v 动词n
3873,返回动词,返回v 动词n
3874,激励术语,激励v 术语n
3875,激励量,激励v 量n
3876,输入激励量,输入v 激励v 量n
3877,特性激励量,特性n 激励v 量n
3878,辅助激励量,辅助vn 激励v 量n
3879,辅助电源量,辅助vn 电源n 量n
3880,激励某一继电器动词,激励v 某r 一m 继电器n 动词n
3881,输入信号,输入v 信号n
3882,工作范围,工作vn 范围n
3883,激励电路额定阻抗,激励v 电路n 额定b 阻抗v
3884,输出电路术语,输出v 电路n 术语n
3885,继电器输出,继电器n 输出v
3886,时间术语,时间n 术语n
3887,动断输出电的断开时间,动断v 输出v 电n 的uj 断开v 时间n
3888,动合输出电的闭合时间,动合n 输出v 电n 的uj 闭合v 时间n
3889,动合输出电的断开时间,动合n 输出v 电n 的uj 断开v 时间n
3890,动断输出电的闭合时间,动断v 输出v 电n 的uj 闭合v 时间n
3891,临界冲击时间,临界b 冲击vn 时间n
3892,返回时间,返回v 时间n
3893,影响量术语,影响vn 量n 术语n
3894,影响量规定范围,影响vn 量n 规定n 范围n
3895,变差,变差n
3896,测量继电器特性术语,测量vn 继电器n 特性n 术语n
3897,特性量,特性n 量n
3898,特性量整定范围,特性n 量n 整定b 范围n
3899,复归百分比,复归v 百分比n
3900,特性角,特性n 角n
3901,校正值,校ng 正值n
3902,极化量,极化n 量n
3903,精确度术语,精确度n 术语n
3904,一致性基准一致性,一致性n 基准n 一致性n
3905,等级指数,等级b 指数n
3906,电缆导线导体无镀层导体,电缆n 导线n 导体n 无v 镀层n 导体n
3907,金属镀层导体,金属n 镀层n 导体n
3908,镀锡导体,镀锡nz 导体n
3909,金属包覆导体,金属n 包覆v 导体n
3910,实心导体,实心n 导体n
3911,圆形同心绞合导体,圆形n 同心n 绞合v 导体n
3912,束合导体,束合vn 导体n
3913,复绞导体,复d 绞v 导体n
3914,软导体,软a 导体n
3915,成形导体,成形n 导体n
3916,污染或辐射测量设备和装置,污染vn 或c 辐射v 测量vn 设备vn 和c 装置n
3917,放射性表面污染测量仪,放射性n 表面n 污染vn 测量仪nz
3918,放射性表面污染监测仪,放射性n 表面n 污染vn 监测仪n
3919,门框式监测仪,门框n 式k 监测仪n
3920,放射性空气污染监测仪,放射性n 空气污染i 监测仪n
3921,放射性空气污染指示仪,放射性n 空气污染i 指示仪n
3922,气载尘埃或微粒监测仪,气n 载v 尘埃n 或c 微粒n 监测仪n
3923,总濳能测量仪,总b 濳zg 能v 测量仪nz
3924,放射性碘测量仪监测仪,放射性n 碘n 测量仪nz 监测仪n
3925,液体放射性活度计,液体n 放射性n 活度n 计n
3926,蒸发后样品放射性活度计,蒸发v 后f 样品n 放射性n 活度n 计n
3927,气体放射性活度计,气体n 放射性n 活度n 计n
3928,氡含量测量仪监测仪,氡g 含量n 测量仪nz 监测仪n
3929,生物组织放射性活度探测器,生物n 组织v 放射性n 活度n 探测器n
3930,全身计数器,全身n 计数器n
3931,放射性生物测量仪,放射性n 生物n 测量仪nz
3932,临界事故监测仪,临界b 事故n 监测仪n
3933,事故监测仪,事故n 监测仪n
3934,事故惰性气体排出流监测仪,事故n 惰性气体n 排出v 流n 监测仪n
3935,液态排出流监测仪,液态n 排出v 流n 监测仪n
3936,核反应堆运行和安全用系统设备和装置,核反应堆l 运行v 和c 安全an 用p 系统n 设备vn 和c 装置n
3937,核反应堆仪表,核反应堆l 仪表n
3938,核反应堆安全组合,核反应堆l 安全an 组合v
3939,周期计,周期t 计n
3940,反应性仪,反应vn 性仪n
3941,破损燃料元件监测仪,破损v 燃料n 元件n 监测仪n
3942,静电收集型破损燃料元件监测仪,静电n 收集v 型k 破损v 燃料n 元件n 监测仪n
3943,切连科夫效应破损燃料元件监测仪,切v 连科夫nr 效应n 破损v 燃料n 元件n 监测仪n
3944,裂变产物分离型破损燃料元件监测仪,裂变v 产物n 分离v 型k 破损v 燃料n 元件n 监测仪n
3945,缓发中子型破损元件监测仪,缓发v 中子n 型k 破损v 元件n 监测仪n
3946,破损燃料元件指示器,破损v 燃料n 元件n 指示器n
3947,故障容限,故障n 容限a
3948,功能适度劣化,功能n 适度a 劣化n
3949,软件模块化,软件n 模块化n
3950,人机接口,人机接口n
3951,辅助操作控制系统,辅助vn 操作v 控制系统l
3952,操纵员支持系统,操纵员l 支持系统n
3953,广播系统,广播系统n
3954,安全相关仪表和控制系统,安全an 相关v 仪表n 和c 控制系统l
3955,安全重要物项,安全an 重要a 物项n
3956,配置管理,配置管理n
3957,核反应堆安全预警系统和装置,核反应堆l 安全an 预警系统n 和c 装置n
3958,安全系统,安全an 系统n
3959,安全组件,安全an 组件n
3960,安全系统支持设施,安全an 系统n 支持v 设施n
3961,安全执行系统,安全an 执行v 系统n
3962,安全重要的联锁系统,安全an 重要a 的uj 联锁v 系统n
3963,安全报警系统,安全an 报警n 系统n
3964,驱动装置,驱动vn 装置n
3965,声响报警系统,声响n 报警n 系统n
3966,功能性,功能性n
3967,联锁功能,联锁v 功能n
3968,紧急停堆棒,紧急a 停v 堆v 棒a
3969,报警系统,报警n 系统n
3970,核反应堆用测量装置系统和设备,核反应堆l 用p 测量vn 装置n 系统n 和c 设备vn
3971,包壳温度计算机,包壳n 温度n 计算机n
3972,冷却剂总活度监测仪,冷却剂n 总b 活度n 监测仪n
3973,传递函数仪,传递函数n 仪ng
3974,重水含量仪,重水n 含量n 仪ng
3975,堆芯测温传感器,堆芯n 测温nz 传感器n
3976,堆芯温度测量系统,堆芯n 温度n 测量vn 系统n
3977,噪声诊断系统,噪声n 诊断系统n
3978,安全参数显示系统,安全an 参数n 显示v 系统n
3979,中子监测的坎贝尔系统,中子n 监测vn 的uj 坎贝尔nrt 系统n
3980,补偿组件,补偿vn 组件n
3981,控制组件驱动机构,控制v 组件n 驱动vn 机构n
3982,控制组件,控制v 组件n
3983,控制棒,控制棒n
3984,增益棒,增益n 棒zg
3985,灰棒,灰棒n
3986,黑棒,黑棒n
3987,工业用辐射测量设备和装置,工业用n 辐射v 测量vn 设备vn 和c 装置n
3988,辐射量测计,辐射量n 测计vn
3989,厚度计,厚度n 计n
3990,透射式测量系统,透射v 式k 测量vn 系统n
3991,反散射式测量系统,反zg 散射v 式k 测量vn 系统n
3992,荧光测量系统,荧光n 测量vn 系统n
3993,料位计,料位计n
3994,物料检测仪,物料n 检测仪n
3995,随动式料位计,随动d 式k 料位计n
3996,辐射探测器特性,辐射v 探测器n 特性n
3997,闪烁,闪烁v
3998,闪烁持续时间,闪烁v 持续时间n
3999,闪烁上升时间,闪烁v 上升时间n
4000,闪烁下降时间,闪烁v 下降时间n
4001,闪烁衰减时间,闪烁v 衰减v 时间n
4002,发射光谱,发射光谱l
4003,能量转换效率,能量n 转换v 效率n
4004,量子转化效率,量子n 转化v 效率n
4005,光阴极灵敏度,光阴n 极d 灵敏度n
4006,渡越时间,渡越v 时间n
4007,收集效率,收集v 效率n
4008,探测器效率,探测器n 效率n
4009,探测效率,探测v 效率n
4010,全吸收峰探测器效率,全a 吸收v 峰nr 探测器n 效率n
4011,全吸收峰探测效率,全a 吸收v 峰nr 探测v 效率n
4012,壁效应,壁n 效应n
4013,离子收集时间,离子n 收集v 时间n
4014,电子收集时间,电子n 收集v 时间n
4015,饱和电压,饱和a 电压n
4016,气体放大,气体n 放大v
4017,汤森雪崩,汤森nr 雪崩n
4018,边缘效应,边缘效应n
4019,正比区,正比z 区n
4020,有限正比区,有限a 正比z 区n
4021,盖革米勒区,盖革nr 米勒nrt 区n
4022,盖革米勒阈,盖革nr 米勒nrt 阈n
4023,坪斜,坪v 斜v
4024,死时间,死v 时间n
4025,电离径迹,电离径迹n
4026,敏感时间,敏感a 时间n
4027,康普顿连续谱,康普顿nr 连续谱n
4028,光电峰,光电j 峰nr
4029,全吸收峰,全a 吸收v 峰nr
4030,磷光,磷光nz
4031,荧光,荧光n
4032,光灵敏度,光n 灵敏度n
4033,光谱灵敏度,光谱n 灵敏度n
4034,光灵敏度不均匀性,光n 灵敏度n 不d 均匀a 性n
4035,放电噪声,放电v 噪声n
4036,光谱峰,光谱n 峰nr
4037,偏置,偏置n
4038,甄别阈,甄别v 阈n
4039,谱,谱v
4040,剂量反射率,剂量n 反射率n
4041,微分剂量反射率,微分n 剂量n 反射率n
4042,辐射测量装置特性,辐射v 测量vn 装置n 特性n
4043,计数,计数n
4044,假计数,假n 计数n
4045,计数率,计数率n
4046,飞行时间,飞行v 时间n
4047,迁移率,迁移率n
4048,灵敏度,灵敏度n
4049,本底水平,本底t 水平n
4050,响应时间,响应v 时间n
4051,建立时间,建立v 时间n
4052,上升时间,上升时间n
4053,能量分辨率,能量n 分辨率n
4054,计数损失,计数n 损失n
4055,符合分辨时间,符合v 分辨时间n
4056,反符合,反zg 符合v
4057,响应阈,响应v 阈n
4058,分辨时间,分辨时间n
4059,滞后时间,滞后v 时间n
4060,逃逸峰,逃逸v 峰nr
4061,输入等效噪声,输入v 等效v 噪声n
4062,限幅时间,限幅n 时间n
4063,实时间,实n 时间n
4064,活时间,活vn 时间n
4065,采样时间,采样v 时间n
4066,预热时间,预热v 时间n
4067,下降时间,下降时间n
4068,道宽,道q 宽a
4069,变换时间,变换v 时间n
4070,复原时间,复原n 时间n
4071,额定范围,额定b 范围n
4072,额定使用范围,额定b 使用v 范围n
4073,采样收集效率,采样v 收集v 效率n
4074,允许计数率,允许v 计数率n
4075,报警整定值,报警n 整定值n
4076,随机波动,随机d 波动vn
4077,康普顿剥离,康普顿nr 剥离v
4078,信号饱和,信号n 饱和a
4079,脉冲率,脉冲n 率v
4080,和检测仪器的实验误差校对和参数,和c 检测vn 仪器n 的uj 实验vn 误差n 校对v 和c 参数n
4081,参考点,参考点n
4082,检查源,检查vn 源ng
4083,参考源,参考v 源ng
4084,探测阈,探测v 阈n
4085,响应,响应v
4086,参考响应,参考v 响应v
4087,分辨力,分辨力n
4088,最小可探测活性,最小a 可v 探测v 活性n
4089,测量的不确定度,测量vn 的uj 不a 确定v 度zg
4090,可再现性,可v 再现v 性n
4091,试验标准偏差,试验vn 标准偏差n
4092,确认,确认v
4093,可溯源性,可v 溯源v 性n
4094,爆炸性环境用电气设备一般术语,爆炸性n 环境n 用p 电气设备n 一般a 术语n
4095,爆炸性环境用电气设备,爆炸性n 环境n 用p 电气设备n
4096,设备类别,设备vn 类别n
4097,最高表面温度,最高a 表面温度n
4098,爆炸性环境,爆炸性n 环境n
4099,爆炸性气体环境,爆炸性n 气体n 环境n
4100,爆炸性粉尘环境,爆炸性n 粉尘n 环境n
4101,理化现象,理化v 现象n
4102,爆炸性气体环境的点燃温度,爆炸性n 气体n 环境n 的uj 点燃v 温度n
4103,试验用爆炸性混合物,试验vn 用p 爆炸性n 混合物n
4104,最强爆炸混合物,最强a 爆炸v 混合物n
4105,最易传爆混合物,最d 易传nr 爆v 混合物n
4106,爆炸下限,爆炸v 下限v
4107,爆炸上限,爆炸v 上限v
4108,最大试验安全间隙,最大a 试验vn 安全an 间隙n
4109,闪点,闪点n
4110,压力重叠,压力n 重叠v
4111,最低点燃电压,最低a 点燃v 电压n
4112,粉尘可燃性粉尘,粉尘n 可燃性n 粉尘n
4113,粉尘层的最低点燃温度,粉尘n 层q 的uj 最低a 点燃v 温度n
4114,粉尘云的最低点燃温度,粉尘n 云n 的uj 最低a 点燃v 温度n
4115,异态混合物,异态n 混合物n
4116,自燃物质,自燃v 物质n
4117,可燃飞絮范围和区域,可燃v 飞絮n 范围n 和c 区域n
4118,非危险区域,非h 危险an 区域n
4119,释放源,释放v 源ng
4120,释放率,释放v 率v
4121,通风相对密度,通风n 相对d 密度n
4122,可燃性物质,可燃性n 物质n
4123,可燃性液体,可燃性n 液体n
4124,可燃性气体或蒸气,可燃性n 气体n 或c 蒸气n
4125,沸点,沸点n
4126,蒸气压,蒸气n 压v
4127,液化可燃性气体,液化vn 可燃性n 气体n
4128,粉尘释放源,粉尘n 释放v 源ng
4129,电子设备的结构,电子设备n 的uj 结构n
4130,外壳防护等级,外壳n 防护v 等级b
4131,呼吸装置,呼吸v 装置n
4132,排液装置特殊紧固件,排液n 装置n 特殊a 紧固件n
4133,环境温度,环境温度n
4134,电气间隙,电气n 间隙n
4135,通过浇封复合物的距离,通过p 浇封v 复合物nt 的uj 距离n
4136,通过固体绝缘的距离,通过p 固体a 绝缘n 的uj 距离n
4137,爬电距离,爬v 电n 距离n
